"action","record_type","libid","serial_title","nlm_unique_id","holdings_format","begin_volume","end_volume","begin_year","end_year","issns","currently_received","retention_policy","limited_retention_period","limited_retention_type","embargo_period","has_epub_ahead_of_print","has_supplements","ignore_warnings","last_modified"
"","HOLDING","MAUTUF","AACN clinical issues","NLM_9508191","Electronic","","","","","1079-0713 (Print), 1538-9812 (Electronic)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","","","1995","1999","","","","","","","","","",""
"","HOLDING","MAUTUF","AAOHN journal : official journal of the American Association of Occupational Health Nurses","NLM_8608669","Electronic","","","","","0891-0162 (Print), 1938-2448 (Electronic)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","","","2000","2009","","","","","","","","","",""
"","HOLDING","MAUTUF","Abstracts from NIDR scientists","NLM_0257570","Print","","","","","","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","1","44","","","","","","","","","","","",""
"","HOLDING","MAUTUF","Abstracts of health care management studies","NLM_7900391","Print","","","","","0194-4908 (Print)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","15","23","","","","","","","","","","","",""
"","HOLDING","MAUTUF","Abstracts of the Annual meeting of the American Society for Microbiology","NLM_0434103","Print","","","","","0094-8519 (Print)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","72","90","","","","","","","","","","","",""
"","HOLDING","MAUTUF","Abstracts of the ... General Meeting of the American Society for Microbiology. American Society for Microbiology. General Meeting","NLM_9208439","Print","","","","","1060-2011 (Electronic)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","","","1991","1999","","","","","","","","","",""
"","HOLDING","MAUTUF","Academic emergency medicine : official journal of the Society for Academic Emergency Medicine","NLM_9418450","Electronic","","","","","1069-6563 (Print), 1553-2712 (Electronic)","Yes","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","","","1999","","","","","","","","","","",""
"","HOLDING","MAUTUF","Academic emergency medicine : official journal of the Society for Academic Emergency Medicine","NLM_9418450","Print","","","","","1069-6563 (Print), 1553-2712 (Electronic)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","6","10","1999","2003","","","","","","","","","",""
"","HOLDING","MAUTUF","Academic medicine : journal of the Association of American Medical Colleges","NLM_8904605","Electronic","","","","","1040-2446 (Print), 1938-808X (Electronic)","Yes","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","","","1989","","","","","","","","","","",""
"","HOLDING","MAUTUF","Academic pediatrics","NLM_101499145","Electronic","","","","","1876-2859 (Print), 1876-2867 (Electronic)","Yes","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","","","2009","","","","","","","","","","",""
"","HOLDING","MAUTUF","Academic psychiatry : the journal of the American Association of Directors of Psychiatric Residency Training and the Association for Academic Psychiatry","NLM_8917200","Electronic","","","","","1042-9670 (Print), 1545-7230 (Electronic)","Yes","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","","","1989","","","","","","","","","","",""
"","HOLDING","MAUTUF","Academic psychiatry : the journal of the American Association of Directors of Psychiatric Residency Training and the Association for Academic Psychiatry","NLM_8917200","Print","","","","","1042-9670 (Print), 1545-7230 (Electronic)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","13","26","1989","2002","","","","","","","","","",""
"","HOLDING","MAUTUF","Academic radiology","NLM_9440159","Electronic","","","","","1076-6332 (Print), 1878-4046 (Electronic)","Yes","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","","","1995","","","","","","","","","","",""
"","HOLDING","MAUTUF","ACCEL","NLM_7800552A","Print","","","","","","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","4","15","","","","","","","","","","","",""
"","HOLDING","MAUTUF","ACCEL for physicians","NLM_8500865A","Print","","","","","","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","15","17","","","","","","","","","","","",""
"","HOLDING","MAUTUF","Accepted dental therapeutics; drugs used in dental practice, including a list of brands accepted by the Council on Dental Therapeutics of the American Dental Association","NLM_1271630","Print","","","","","0065-079X (Print)","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","40","40","","","","","","","","","","","",""
"","HOLDING","MAUTUF","ACCESS","NLM_7800553A","Print","","","","","","No","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","1","4","","","","","","","","","","","",""
"","HOLDING","MAUTUF","Accounts of chemical research","NLM_0157313","Print","","","","","0001-4842 (Print), 1520-4898 (Electronic)","Yes","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","1","","","","","","","","","","","","",""
"","HOLDING","MAUTUF","Acta anaesthesiologica Scandinavica","NLM_0370270","Electronic","","","","","0001-5172 (Print), 1399-6576 (Electronic)","Yes","Permanently Retained","0","Years","0","No","No","No","2018-Oct-12"
"","RANGE","","","","","","","1957","","","","","","","","","","",""
